year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.3928796996275285,0,0.04330941413412681,0.2337177993338287,0.1477645567038744,-0.3381729419035763,0
2000,Q1,-0.6611712825909126,0,-1.7593019365307123,-1.281733564577953,0.0416304259817258,-0.5191987979344851,0
2000,Q2,-0.5248435034804894,0,-0.25500325338315927,0.5156144262683999,-0.513033853066519,-0.25758382658504014,0
2000,Q3,-0.7509076530975427,0,-1.0326348366104239,-0.7300756322922698,-0.2633489220921109,-0.03921028222604311,0
2000,Q4,-0.8129152851470306,0,-0.2047211140638248,0.05308090178176897,-0.2773476637528406,0.01954564790724684,0
2001,Q1,-0.18585572505721348,1,0.7489363038285561,0.45647582502995215,0.05917876509606016,0.23328171370254386,0
2001,Q2,0.12535945428096007,1,0.989857463969535,0.4091613197622755,0.2838554258626132,0.29684071834464637,0
2001,Q3,0.5467881723583079,1,0.6530800356989672,-0.3070226380770782,-0.32397082071995875,1.2840734944960042,0
2001,Q4,1.0632255192109668,1,1.8610282733468102,0.14831230340060375,0.590322700984201,1.1223932689620055,0
2002,Q1,1.437392627857697,0,2.245604738415476,1.1233827573128856,-0.2505422371679721,1.3727642182705624,0
2002,Q2,1.6876847539491915,0,1.991025968335513,0.35739045533001945,-0.22745403812530215,1.8610895511307957,0
2002,Q3,1.8898275165237257,0,1.461651085997104,-0.056018029612034184,-0.0022614813080705544,1.5199305969172086,0
2002,Q4,1.7344770659886228,0,1.2396264712063978,0.37925326979749274,-0.24839886652509588,1.108772067934001,0
2003,Q1,1.392639920281197,0,0.878256155585773,0.08826778595880214,-0.4660530574162901,1.256041427043261,0
2003,Q2,1.2582708648263377,0,1.4535497465160754,1.6999431826772178,-1.386769822421973,1.1403763862608307,0
2003,Q3,1.0750967290623956,0,0.7289545429413361,-0.7224423282565262,0.4396486186157148,1.0117482525821475,0
2003,Q4,0.9390113843411503,0,0.6952850923214167,0.5358045340793702,-0.5256477080852889,0.6851282663273354,0
2004,Q1,0.7532770902349526,0,0.13531897916098212,-0.3920174939810684,0.270942242864863,0.2563942302771875,0
2004,Q2,0.38314229821884205,0,-0.02698942154836681,-0.2667708655818564,-0.011264901524730198,0.2510463455582198,0
2004,Q3,0.10342262288089302,0,-0.38992415841046,0.3564742671128768,-0.702190987660145,-0.04420743786319181,0
2004,Q4,-0.20974850688078028,0,-0.5573994267252765,-0.33625282957767105,-0.21747836848235563,-0.0036682286652498387,0
